Variable name,"var_availability (this was calculated using the full final_dataset.csv, with all subjects)",Category of variable,Sub-category of variable,Metadata: CRFNAME,Metadata: TEXT,Key variable,
RID,100,Admin,Nil,-1,-1,,
BASELINE_DX,68.20461384,Clinical,Diagnosis,-1,-1,1,
SITEID,98.5958,Admin,Nil,-1,-1,1,
ADAS_ADNIGO23__WORDLIST,23.01905717,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Word Recall and Recognition Tasks List Number,,
ADAS_ADNIGO23__Q1UNABLE,1.479438315,NPA,ADAS-Cog,ADAS-Cognitive Behavior,1. Word Recall,,
ADAS_ADNIGO23__Q1TRIT,21.91574724,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Trial 1 Total,,
ADAS_ADNIGO23__Q1TR2T,21.91574724,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Trial 2 Total,,
ADAS_ADNIGO23__Q1TRT,21.91574724,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Trial 3 Total,,
ADAS_ADNIGO23__Q1SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q2UNABLE,1.429287864,NPA,ADAS-Cog,ADAS-Cognitive Behavior,2. Commands,,
ADAS_ADNIGO23__Q2SCORE,56.69508526,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Score Component,,
ADAS_ADNIGO23__Q3UNABLE,1.429287864,NPA,ADAS-Cog,ADAS-Cognitive Behavior,3. Constructional Praxis,,
ADAS_ADNIGO23__Q3TASK1,56.11835507,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Circle,,
ADAS_ADNIGO23__Q3TASK2,56.09327984,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Two overlapping rectangles,,
ADAS_ADNIGO23__Q3TASK3,56.11835507,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Rhombus(Diamond),,
ADAS_ADNIGO23__Q3TASK4,55.36609829,NPA,ADAS-Cog,ADAS-Cognitive Behavior,Cube,,
